content,score,Label,text_clean,text_StopWord,text_tokens,text_steamindo
"Gak heran sama limit paylatter yang turun padahal pembayaran on time. Lah gw ngga bisa dipakai padahal bayar double terus. Dari pihak traveloka gak bisa kasih solusi. Sudah komplain berkali"". Sudah minta data ini itu, tapi gak bisa menyelesaikan masalah. PARAH sih,",5,Positif,gak heran sama limit paylatter yang turun padahal pembayaran on time lah gw ngga bisa dipakai padahal bayar double terus dari pihak traveloka gak bisa kasih solusi sudah komplain berkali sudah minta data ini itu tapi gak bisa menyelesaikan masalah parah sih,gak heran limit paylatter turun pembayaran on time gw ngga dipakai bayar double traveloka gak kasih solusi komplain berkali data gak menyelesaikan parah sih,"['gak', 'heran', 'limit', 'paylatter', 'turun', 'pembayaran', 'on', 'time', 'gw', 'ngga', 'dipakai', 'bayar', 'double', 'traveloka', 'gak', 'kasih', 'solusi', 'komplain', 'berkali', 'data', 'gak', 'menyelesaikan', 'parah', 'sih']",gak heran limit paylatter turun bayar on time gw ngga pakai bayar double traveloka gak kasih solusi komplain kali data gak selesai parah sih
Susah reschedule tidak seperti dulu pelayanannya,1,Negatif,susah reschedule tidak seperti dulu pelayanannya,susah reschedule pelayanannya,"['susah', 'reschedule', 'pelayanannya']",susah reschedule layan
Sejak dulu saya dan keluarga klo bepergian selalu pesan tiket di Traveloka. Cara pesan mudah dan ada jaminan kembali/refund 100%. Walaupun tidak pernah saya lakukan. Pokok traveloka Ok lah.,5,Positif,sejak dulu saya dan keluarga klo bepergian selalu pesan tiket di traveloka cara pesan mudah dan ada jaminan kembalirefund  walaupun tidak pernah saya lakukan pokok traveloka ok lah,keluarga klo bepergian pesan tiket traveloka pesan mudah jaminan kembalirefund lakukan pokok traveloka ok,"['keluarga', 'klo', 'bepergian', 'pesan', 'tiket', 'traveloka', 'pesan', 'mudah', 'jaminan', 'kembalirefund', 'lakukan', 'pokok', 'traveloka', 'ok']",keluarga klo pergi pesan tiket traveloka pesan mudah jamin kembalirefund laku pokok traveloka ok
"Saya mau transaksi pake traveloka jd kawatir... Krn komennya byk yg bintang satu... Padahal bntar lg musim liburan.... Crowded, rame tentunya layanan traveloka makin buruk.. Td ada customer yg ga merasa cek in, tp kok ada yg cek in...semrawut kesannya...",2,Negatif,saya mau transaksi pake traveloka jd kawatir krn komennya byk yg bintang satu padahal bntar lg musim liburan crowded rame tentunya layanan traveloka makin buruk td ada customer yg ga merasa cek in tp kok ada yg cek insemrawut kesannya,transaksi pake traveloka jd kawatir krn komennya byk yg bintang bntar lg musim liburan crowded rame layanan traveloka buruk td customer yg ga cek in tp yg cek insemrawut kesannya,"['transaksi', 'pake', 'traveloka', 'jd', 'kawatir', 'krn', 'komennya', 'byk', 'yg', 'bintang', 'bntar', 'lg', 'musim', 'liburan', 'crowded', 'rame', 'layanan', 'traveloka', 'buruk', 'td', 'customer', 'yg', 'ga', 'cek', 'in', 'tp', 'yg', 'cek', 'insemrawut', 'kesannya']",transaksi pake traveloka jd kawatir krn komennya byk yg bintang bntar lg musim libur crowded rame layan traveloka buruk td customer yg ga cek in tp yg cek insemrawut kesan
"mudah, murah, menarik diskonnya, banyak pilihannya",5,Positif,mudah murah menarik diskonnya banyak pilihannya,mudah murah menarik diskonnya pilihannya,"['mudah', 'murah', 'menarik', 'diskonnya', 'pilihannya']",mudah murah tarik diskon pilih
"Traveloka sangat membantu dalam pencarian hotel. Saya senang dengan rating hotel 8 ke atas. saran saya, totalkan jumlah harga kamar pesanan dengan malam menginap. Sehingga memudahkan saya dalam pencarian hotel yang sesuai budget selama menginap. Semoga makin banyak penginapan di daerah2 terpencil yang bergabung dengan traveloka ya..",5,Positif,traveloka sangat membantu dalam pencarian hotel saya senang dengan rating hotel  ke atas saran saya totalkan jumlah harga kamar pesanan dengan malam menginap sehingga memudahkan saya dalam pencarian hotel yang sesuai budget selama menginap semoga makin banyak penginapan di daerah terpencil yang bergabung dengan traveloka ya,traveloka membantu pencarian hotel senang rating hotel saran totalkan harga kamar pesanan malam menginap memudahkan pencarian hotel sesuai budget menginap semoga penginapan daerah terpencil bergabung traveloka ya,"['traveloka', 'membantu', 'pencarian', 'hotel', 'senang', 'rating', 'hotel', 'saran', 'totalkan', 'harga', 'kamar', 'pesanan', 'malam', 'menginap', 'memudahkan', 'pencarian', 'hotel', 'sesuai', 'budget', 'menginap', 'semoga', 'penginapan', 'daerah', 'terpencil', 'bergabung', 'traveloka', 'ya']",traveloka bantu cari hotel senang rating hotel saran total harga kamar pesan malam inap mudah cari hotel sesuai budget inap moga inap daerah pencil gabung traveloka ya
"Tiket udh dibayar tiba tiba dibatalkan, mau di reschedule malah aplikasi gangguan terus. Ini gimana nih?",2,Negatif,tiket udh dibayar tiba tiba dibatalkan mau di reschedule malah aplikasi gangguan terus ini gimana nih,tiket udh dibayar dibatalkan reschedule aplikasi gangguan gimana nih,"['tiket', 'udh', 'dibayar', 'dibatalkan', 'reschedule', 'aplikasi', 'gangguan', 'gimana', 'nih']",tiket udh bayar batal reschedule aplikasi ganggu gimana nih
"sangat membantu dalam keperluan liburan, terima kasih Traveloka.",5,Positif,sangat membantu dalam keperluan liburan terima kasih traveloka,membantu keperluan liburan terima kasih traveloka,"['membantu', 'keperluan', 'liburan', 'terima', 'kasih', 'traveloka']",bantu perlu libur terima kasih traveloka
alhamdulillah dgn traveloka perjalanan lebih mudah,5,Positif,alhamdulillah dgn traveloka perjalanan lebih mudah,alhamdulillah dgn traveloka perjalanan mudah,"['alhamdulillah', 'dgn', 'traveloka', 'perjalanan', 'mudah']",alhamdulillah dgn traveloka jalan mudah
"Bagus, memudahkan memesan tiket. Ada promo juga",5,Positif,bagus memudahkan memesan tiket ada promo juga,bagus memudahkan memesan tiket promo,"['bagus', 'memudahkan', 'memesan', 'tiket', 'promo']",bagus mudah mes tiket promo
