content,score,Label
"Gak heran sama limit paylatter yang turun padahal pembayaran on time. Lah gw ngga bisa dipakai padahal bayar double terus. Dari pihak traveloka gak bisa kasih solusi. Sudah komplain berkali"". Sudah minta data ini itu, tapi gak bisa menyelesaikan masalah. PARAH sih,",5,Positif
Susah reschedule tidak seperti dulu pelayanannya,1,Negatif
Sejak dulu saya dan keluarga klo bepergian selalu pesan tiket di Traveloka. Cara pesan mudah dan ada jaminan kembali/refund 100%. Walaupun tidak pernah saya lakukan. Pokok traveloka Ok lah.,5,Positif
"Saya mau transaksi pake traveloka jd kawatir... Krn komennya byk yg bintang satu... Padahal bntar lg musim liburan.... Crowded, rame tentunya layanan traveloka makin buruk.. Td ada customer yg ga merasa cek in, tp kok ada yg cek in...semrawut kesannya...",2,Negatif
"mudah, murah, menarik diskonnya, banyak pilihannya",5,Positif
"Traveloka sangat membantu dalam pencarian hotel. Saya senang dengan rating hotel 8 ke atas. saran saya, totalkan jumlah harga kamar pesanan dengan malam menginap. Sehingga memudahkan saya dalam pencarian hotel yang sesuai budget selama menginap. Semoga makin banyak penginapan di daerah2 terpencil yang bergabung dengan traveloka ya..",5,Positif
"Tiket udh dibayar tiba tiba dibatalkan, mau di reschedule malah aplikasi gangguan terus. Ini gimana nih?",2,Negatif
"sangat membantu dalam keperluan liburan, terima kasih Traveloka.",5,Positif
alhamdulillah dgn traveloka perjalanan lebih mudah,5,Positif
"Bagus, memudahkan memesan tiket. Ada promo juga",5,Positif
cepat dan efisien,5,Positif
sangat membantu dalam perjalanan,5,Positif
"Banyak kupan ga bisa di pake,banyak point' ga bisa di tuker..buat apa coba kalo pungsinya cuma hiasan..aneh aneh saja..",2,Negatif
"mantap Traveloka , proses Cepat...Terimakasih wassalam.",5,Positif
sangat mudah untuk semua urusan,5,Positif
Punya limit tapi gak bisa di pakai virtual number padahal sudah level platinum 2 dah limit blum ke pakai sampai 20 persen tapi udah gak bisa di pakai aneh,2,Negatif
mudah pembayarannya dan pemesanan nya,5,Positif
"Sering eror gini aplikasinya,, uda bolak balik d uninstal tetep eror 😫😫😫",3,
memberikan kemudahan perjalanan dan banyak promo nya,5,Positif
Sy ganti jadi 5 bintang. Setelah e tiket akhirnya muncul. Terimakasih atas bantuannya traveloka,5,Positif
"puas dengan pelayanannya, terimakasih dari dulu pake traveloka gak pernah gagal saya 🙏",5,Positif
Sekarang saya kasih bintang empat dulu karena saya dulu pernah pesan tiket di aplikasi traveloka tapi tidak bisa di rescudle atau pengembalian biaya tiket🙏,4,Positif
Sangat2 membantu kalo mau pesan2 tilet,5,Positif
praktis dan cepat,5,Positif
"Mahalllll.. murah aplikasi sebelah.. paylatter yg pembayarannya bagus, status sehat tiba2 gak bs di pakai lagi.. PINDAH KE APLIKASI SEBELAH SAJA.. LEBIH JELAS",1,Negatif
"Saya mau Login , pakai no telpon , kenapa tidak bisa ya ? Karna Email saya yg dipake diakun Traveloka sudah tidak aktif dan saya juga tidak mengingat password nya . Saya berniat mau mengganti Email diakun Traveloka .",3,
cepat dan ringkas,5,Positif
"Pokoknya aku mau batalin pesanan saya karena saya tidak bisa menginap karena salah memilih waktu, seharusnya kalian paham masalah ini, kalo kalian egois menutup mata dan tidak peduli. Kami pelanggan akan berhenti pakai kalian. Kalian harusnya pahami klo orang bisa salah memilih. Tidak menutup kemungkinan saya tidak akan bayar paylatter kalian, karena tidak merasa memakai yang di pesan",1,Negatif
Traveloka sangat membantu mencari transportasi dan hotel dengan harga dan hari sesuai kebutuhan.,5,Positif
sukses selalu untuk Traveloka,5,Positif
pemesanan mudah dan lancar,5,Positif
Sudah hampir 3 thn paylater di nonaktifan,1,Negatif
mudah cepat dan aman,5,Positif
memudahkan untuk semua keperluan akomodasi dan transportasi,5,Positif
"Lumayan ada peningkatan, mohon untuk ditingkatkan terkait Payment nya agar tidak terjadi error atau pengulangan",5,Positif
"Penggunaaanya mudah, refund proses cepat",5,Positif
semua menjadi gampang dan mudah melalui aplikasi terpercaya,5,Positif
